license_id,brand_name,ingredient,drugbank_id,potential_indication,source
EMEA/H/C/000169,Exelon,RIVASTIGMINE,DB00989,Alzheimer disease without neurofibrillary tangles,TxGNN Knowledge Graph
EMEA/H/C/000169,Exelon,RIVASTIGMINE,DB00989,cerebellar degeneration,TxGNN Knowledge Graph
EMEA/H/C/000169,Exelon,RIVASTIGMINE,DB00989,Alzheimer disease,TxGNN Knowledge Graph
EMEA/H/C/000169,Exelon,RIVASTIGMINE,DB00989,Pick disease,TxGNN Knowledge Graph
EMEA/H/C/000169,Exelon,RIVASTIGMINE,DB00989,Reye syndrome,TxGNN Knowledge Graph
EMEA/H/C/004452,Erleada,APALUTAMIDE,DB11901,prostate carcinoma,TxGNN Knowledge Graph
EMEA/H/C/004452,Erleada,APALUTAMIDE,DB11901,familial prostate carcinoma,TxGNN Knowledge Graph
EMEA/H/C/004857,Lenalidomide Accord,LENALIDOMIDE,DB00480,lymphosarcoma,TxGNN Knowledge Graph
EMEA/H/C/004857,Lenalidomide Accord,LENALIDOMIDE,DB00480,B-cell neoplasm,TxGNN Knowledge Graph
EMEA/H/C/001046,Tepadina,THIOTEPA,DB04572,Langerhans cell histiocytosis,TxGNN Knowledge Graph
EMEA/H/C/001046,Tepadina,THIOTEPA,DB04572,non-Hodgkin lymphoma,TxGNN Knowledge Graph
EMEA/H/C/001046,Tepadina,THIOTEPA,DB04572,malignant dysgerminomatous germ cell tumor of ovary,TxGNN Knowledge Graph
EMEA/H/C/001046,Tepadina,THIOTEPA,DB04572,obsolete Hodgkin's granuloma,TxGNN Knowledge Graph
EMEA/H/C/001046,Tepadina,THIOTEPA,DB04572,classic Hodgkin lymphoma,TxGNN Knowledge Graph
EMEA/H/C/001046,Tepadina,THIOTEPA,DB04572,malignant germ cell tumor of ovary,TxGNN Knowledge Graph
EMEA/H/C/001046,Tepadina,THIOTEPA,DB04572,ovarian cancer,TxGNN Knowledge Graph
EMEA/H/C/001046,Tepadina,THIOTEPA,DB04572,ovarian adenocarcinoma,TxGNN Knowledge Graph
EMEA/H/C/001046,Tepadina,THIOTEPA,DB04572,Hodgkin's paragranuloma,TxGNN Knowledge Graph
EMEA/H/C/001046,Tepadina,THIOTEPA,DB04572,primary non-gestational choriocarcinoma of ovary,TxGNN Knowledge Graph
EMEA/H/C/001046,Tepadina,THIOTEPA,DB04572,hereditary breast ovarian cancer syndrome,TxGNN Knowledge Graph
EMEA/H/C/001046,Tepadina,THIOTEPA,DB04572,ovarian endometrioid adenocarcinoma,TxGNN Knowledge Graph
EMEA/H/C/001046,Tepadina,THIOTEPA,DB04572,maligant granulosa cell tumor of ovary,TxGNN Knowledge Graph
EMEA/H/C/001046,Tepadina,THIOTEPA,DB04572,urinary bladder carcinoma,TxGNN Knowledge Graph
EMEA/H/C/001046,Tepadina,THIOTEPA,DB04572,malignant sex cord stromal tumor of ovary,TxGNN Knowledge Graph
EMEA/H/C/001046,Tepadina,THIOTEPA,DB04572,mantle cell lymphoma,TxGNN Knowledge Graph
EMEA/H/C/001046,Tepadina,THIOTEPA,DB04572,female breast carcinoma,TxGNN Knowledge Graph
EMEA/H/C/001046,Tepadina,THIOTEPA,DB04572,borderline epithelial tumor of ovary,TxGNN Knowledge Graph
EMEA/H/C/001046,Tepadina,THIOTEPA,DB04572,malignant Sertoli-Leydig cell tumor of ovary,TxGNN Knowledge Graph
EMEA/H/C/001046,Tepadina,THIOTEPA,DB04572,ovarian clear cell adenocarcinoma,TxGNN Knowledge Graph
EMEA/H/C/001046,Tepadina,THIOTEPA,DB04572,yolk sac tumor,TxGNN Knowledge Graph
EMEA/H/C/001046,Tepadina,THIOTEPA,DB04572,immature ovarian teratoma,TxGNN Knowledge Graph
EMEA/H/C/001046,Tepadina,THIOTEPA,DB04572,"theca steroid-producing cell malignant tumor of ovary, not further specified",TxGNN Knowledge Graph
EMEA/H/C/001046,Tepadina,THIOTEPA,DB04572,ovarian mucinous adenocarcinoma,TxGNN Knowledge Graph
EMEA/H/C/001046,Tepadina,THIOTEPA,DB04572,urinary bladder cancer,TxGNN Knowledge Graph
EMEA/H/C/001046,Tepadina,THIOTEPA,DB04572,ovarian small cell carcinoma,TxGNN Knowledge Graph
EMEA/H/C/001046,Tepadina,THIOTEPA,DB04572,"lymphoma, non-Hodgkin, familial",TxGNN Knowledge Graph
EMEA/H/C/001046,Tepadina,THIOTEPA,DB04572,Hodgkins lymphoma,TxGNN Knowledge Graph
EMEA/H/C/001046,Tepadina,THIOTEPA,DB04572,lymphosarcoma,TxGNN Knowledge Graph
EMEA/H/C/001046,Tepadina,THIOTEPA,DB04572,non-papillary transitional cell carcinoma of the bladder,TxGNN Knowledge Graph
EMEA/H/C/001046,Tepadina,THIOTEPA,DB04572,"classic Hodgkin lymphoma, lymphocyte-rich type",TxGNN Knowledge Graph
EMEA/H/C/001046,Tepadina,THIOTEPA,DB04572,urinary bladder neoplasm,TxGNN Knowledge Graph
EMEA/H/C/001046,Tepadina,THIOTEPA,DB04572,ovarian carcinosarcoma,TxGNN Knowledge Graph
EMEA/H/C/001046,Tepadina,THIOTEPA,DB04572,B-cell neoplasm,TxGNN Knowledge Graph
EMEA/H/C/001046,Tepadina,THIOTEPA,DB04572,lymphoma,TxGNN Knowledge Graph
EMEA/H/C/001046,Tepadina,THIOTEPA,DB04572,malignant non-dysgerminomatous germ cell tumor of ovary,TxGNN Knowledge Graph
EMEA/H/C/001046,Tepadina,THIOTEPA,DB04572,hereditary site-specific ovarian cancer syndrome,TxGNN Knowledge Graph
EMEA/H/C/001046,Tepadina,THIOTEPA,DB04572,familial ovarian cancer,TxGNN Knowledge Graph
EMEA/H/C/001046,Tepadina,THIOTEPA,DB04572,urinary bladder small cell neuroendocrine carcinoma,TxGNN Knowledge Graph
EMEA/H/C/005105,Efmody,HYDROCORTISONE,DB00741,acquired thrombocytopenia,TxGNN Knowledge Graph
EMEA/H/C/005105,Efmody,HYDROCORTISONE,DB00741,dermatitis,TxGNN Knowledge Graph
EMEA/H/C/005105,Efmody,HYDROCORTISONE,DB00741,non-Hodgkin lymphoma,TxGNN Knowledge Graph
EMEA/H/C/005105,Efmody,HYDROCORTISONE,DB00741,inherited aplastic anemia,TxGNN Knowledge Graph
EMEA/H/C/005105,Efmody,HYDROCORTISONE,DB00741,uveitis,TxGNN Knowledge Graph
EMEA/H/C/005105,Efmody,HYDROCORTISONE,DB00741,neurodermatitis,TxGNN Knowledge Graph
EMEA/H/C/005105,Efmody,HYDROCORTISONE,DB00741,chronic primary adrenal insufficiency,TxGNN Knowledge Graph
EMEA/H/C/005105,Efmody,HYDROCORTISONE,DB00741,malignant otitis externa caused by Pseudomonas aeruginosa,TxGNN Knowledge Graph
EMEA/H/C/005105,Efmody,HYDROCORTISONE,DB00741,lupus erythematosus,TxGNN Knowledge Graph
EMEA/H/C/005105,Efmody,HYDROCORTISONE,DB00741,canker sore,TxGNN Knowledge Graph
EMEA/H/C/005105,Efmody,HYDROCORTISONE,DB00741,familial nephrotic syndrome,TxGNN Knowledge Graph
EMEA/H/C/005105,Efmody,HYDROCORTISONE,DB00741,serum sickness,TxGNN Knowledge Graph
EMEA/H/C/005105,Efmody,HYDROCORTISONE,DB00741,infectious anterior uveitis,TxGNN Knowledge Graph
EMEA/H/C/005105,Efmody,HYDROCORTISONE,DB00741,erythema multiforme,TxGNN Knowledge Graph
EMEA/H/C/005105,Efmody,HYDROCORTISONE,DB00741,keratitis,TxGNN Knowledge Graph
EMEA/H/C/005105,Efmody,HYDROCORTISONE,DB00741,proctitis,TxGNN Knowledge Graph
EMEA/H/C/005105,Efmody,HYDROCORTISONE,DB00741,disease of orbital region,TxGNN Knowledge Graph
EMEA/H/C/005105,Efmody,HYDROCORTISONE,DB00741,inherited isolated adrenal insufficiency due to partial CYP11A1 deficiency,TxGNN Knowledge Graph
EMEA/H/C/005105,Efmody,HYDROCORTISONE,DB00741,external ear disease,TxGNN Knowledge Graph
EMEA/H/C/005105,Efmody,HYDROCORTISONE,DB00741,tinea corporis,TxGNN Knowledge Graph
EMEA/H/C/005105,Efmody,HYDROCORTISONE,DB00741,adrenal insufficiency,TxGNN Knowledge Graph
EMEA/H/C/005105,Efmody,HYDROCORTISONE,DB00741,familial glucocorticoid deficiency,TxGNN Knowledge Graph
EMEA/H/C/005105,Efmody,HYDROCORTISONE,DB00741,panuveitis (disease),TxGNN Knowledge Graph
EMEA/H/C/005105,Efmody,HYDROCORTISONE,DB00741,multiple sclerosis,TxGNN Knowledge Graph
EMEA/H/C/005105,Efmody,HYDROCORTISONE,DB00741,nephrotic syndrome,TxGNN Knowledge Graph
EMEA/H/C/005105,Efmody,HYDROCORTISONE,DB00741,lymphosarcoma,TxGNN Knowledge Graph
EMEA/H/C/005105,Efmody,HYDROCORTISONE,DB00741,renin-angiotensin-aldosterone system-blocker-induced angioedema,TxGNN Knowledge Graph
EMEA/H/C/005105,Efmody,HYDROCORTISONE,DB00741,"classic Hodgkin lymphoma, lymphocyte-rich type",TxGNN Knowledge Graph
EMEA/H/C/005105,Efmody,HYDROCORTISONE,DB00741,B-cell neoplasm,TxGNN Knowledge Graph
EMEA/H/C/005105,Efmody,HYDROCORTISONE,DB00741,Diamond-Blackfan anemia,TxGNN Knowledge Graph
EMEA/H/C/005105,Efmody,HYDROCORTISONE,DB00741,folliculotropic mycosis fungoides,TxGNN Knowledge Graph
EMEA/H/C/005105,Efmody,HYDROCORTISONE,DB00741,lymphoma,TxGNN Knowledge Graph
EMEA/H/C/005105,Efmody,HYDROCORTISONE,DB00741,exostosis,TxGNN Knowledge Graph
EMEA/H/C/005105,Efmody,HYDROCORTISONE,DB00741,Crohn's colitis,TxGNN Knowledge Graph
EMEA/H/C/005105,Efmody,HYDROCORTISONE,DB00741,hereditary angioedema,TxGNN Knowledge Graph
EMEA/H/C/005105,Efmody,HYDROCORTISONE,DB00741,ankylosing spondylitis,TxGNN Knowledge Graph
EMEA/H/C/005105,Efmody,HYDROCORTISONE,DB00741,asthma,TxGNN Knowledge Graph
EMEA/H/C/005105,Efmody,HYDROCORTISONE,DB00741,tenosynovitis,TxGNN Knowledge Graph
EMEA/H/C/005105,Efmody,HYDROCORTISONE,DB00741,corneal ulcer,TxGNN Knowledge Graph
EMEA/H/C/005105,Efmody,HYDROCORTISONE,DB00741,ulcerative colitis (disease),TxGNN Knowledge Graph
EMEA/H/C/005105,Efmody,HYDROCORTISONE,DB00741,trichinosis,TxGNN Knowledge Graph
EMEA/H/C/005105,Efmody,HYDROCORTISONE,DB00741,primary cutaneous T-cell non-Hodgkin lymphoma,TxGNN Knowledge Graph
EMEA/H/C/005105,Efmody,HYDROCORTISONE,DB00741,"leukemia, lymphocytic, susceptibility to",TxGNN Knowledge Graph
EMEA/H/C/005105,Efmody,HYDROCORTISONE,DB00741,iritis (disease),TxGNN Knowledge Graph
EMEA/H/C/005105,Efmody,HYDROCORTISONE,DB00741,iridocyclitis (disease),TxGNN Knowledge Graph
EMEA/H/C/005105,Efmody,HYDROCORTISONE,DB00741,inflammatory bowel disease,TxGNN Knowledge Graph
EMEA/H/C/005105,Efmody,HYDROCORTISONE,DB00741,autoimmune disease,TxGNN Knowledge Graph
EMEA/H/C/005105,Efmody,HYDROCORTISONE,DB00741,mycosis fungoides and variants,TxGNN Knowledge Graph
EMEA/H/C/005105,Efmody,HYDROCORTISONE,DB00741,contact dermatitis,TxGNN Knowledge Graph
EMEA/H/C/005105,Efmody,HYDROCORTISONE,DB00741,ciliary body disease,TxGNN Knowledge Graph
EMEA/H/C/005105,Efmody,HYDROCORTISONE,DB00741,musculoskeletal system disease,TxGNN Knowledge Graph
EMEA/H/C/005105,Efmody,HYDROCORTISONE,DB00741,adrenogenital syndrome,TxGNN Knowledge Graph
EMEA/H/C/005105,Efmody,HYDROCORTISONE,DB00741,acquired angioedema,TxGNN Knowledge Graph
EMEA/H/C/005105,Efmody,HYDROCORTISONE,DB00741,seborrheic keratosis,TxGNN Knowledge Graph
EMEA/H/C/005105,Efmody,HYDROCORTISONE,DB00741,dermatitis herpetiformis,TxGNN Knowledge Graph
EMEA/H/C/005105,Efmody,HYDROCORTISONE,DB00741,pulmonary eosinophilia,TxGNN Knowledge Graph
EMEA/H/C/005105,Efmody,HYDROCORTISONE,DB00741,systemic lupus erythematosus (disease),TxGNN Knowledge Graph
EMEA/H/C/005105,Efmody,HYDROCORTISONE,DB00741,non-histaminic angioedema,TxGNN Knowledge Graph
EMEA/H/C/005105,Efmody,HYDROCORTISONE,DB00741,rheumatic heart disease,TxGNN Knowledge Graph
EMEA/H/C/005105,Efmody,HYDROCORTISONE,DB00741,chondrocalcinosis,TxGNN Knowledge Graph
EMEA/H/C/005105,Efmody,HYDROCORTISONE,DB00741,granuloma annulare,TxGNN Knowledge Graph
EMEA/H/C/005105,Efmody,HYDROCORTISONE,DB00741,pemphigus,TxGNN Knowledge Graph
EMEA/H/C/005105,Efmody,HYDROCORTISONE,DB00741,lichen disease,TxGNN Knowledge Graph
EMEA/H/C/005105,Efmody,HYDROCORTISONE,DB00741,blepharoconjunctivitis,TxGNN Knowledge Graph
EMEA/H/C/005105,Efmody,HYDROCORTISONE,DB00741,iris disease,TxGNN Knowledge Graph
EMEA/H/C/005105,Efmody,HYDROCORTISONE,DB00741,heparin-induced thrombocytopenia (disease),TxGNN Knowledge Graph
EMEA/H/C/005105,Efmody,HYDROCORTISONE,DB00741,vasomotor rhinitis,TxGNN Knowledge Graph
EMEA/H/C/005105,Efmody,HYDROCORTISONE,DB00741,rosacea,TxGNN Knowledge Graph
EMEA/H/C/005105,Efmody,HYDROCORTISONE,DB00741,fetal erythroblastosis,TxGNN Knowledge Graph
EMEA/H/C/005105,Efmody,HYDROCORTISONE,DB00741,localized pagetoid reticulosis,TxGNN Knowledge Graph
EMEA/H/C/005105,Efmody,HYDROCORTISONE,DB00741,Stevens-Johnson syndrome,TxGNN Knowledge Graph
EMEA/H/C/005105,Efmody,HYDROCORTISONE,DB00741,"dermatitis, atopic",TxGNN Knowledge Graph
EMEA/H/C/005105,Efmody,HYDROCORTISONE,DB00741,gout,TxGNN Knowledge Graph
EMEA/H/C/005105,Efmody,HYDROCORTISONE,DB00741,Langerhans cell histiocytosis,TxGNN Knowledge Graph
EMEA/H/C/005105,Efmody,HYDROCORTISONE,DB00741,Trichinella spiralis infectious disease,TxGNN Knowledge Graph
EMEA/H/C/005105,Efmody,HYDROCORTISONE,DB00741,pediatric systemic lupus erythematosus,TxGNN Knowledge Graph
EMEA/H/C/005105,Efmody,HYDROCORTISONE,DB00741,"spondyloarthropathy, susceptibility to",TxGNN Knowledge Graph
EMEA/H/C/005105,Efmody,HYDROCORTISONE,DB00741,thyroiditis (disease),TxGNN Knowledge Graph
EMEA/H/C/005105,Efmody,HYDROCORTISONE,DB00741,sarcoidosis,TxGNN Knowledge Graph
EMEA/H/C/005105,Efmody,HYDROCORTISONE,DB00741,familial adrenal hypoplasia with absent pituitary luteinizing hormone,TxGNN Knowledge Graph
EMEA/H/C/005105,Efmody,HYDROCORTISONE,DB00741,humoral hypercalcemia of malignancy,TxGNN Knowledge Graph
EMEA/H/C/005105,Efmody,HYDROCORTISONE,DB00741,obsolete Hodgkin's granuloma,TxGNN Knowledge Graph
EMEA/H/C/005105,Efmody,HYDROCORTISONE,DB00741,angioedema,TxGNN Knowledge Graph
EMEA/H/C/005105,Efmody,HYDROCORTISONE,DB00741,autoimmune thrombocytopenic,TxGNN Knowledge Graph
EMEA/H/C/005105,Efmody,HYDROCORTISONE,DB00741,psoriatic arthritis,TxGNN Knowledge Graph
EMEA/H/C/005105,Efmody,HYDROCORTISONE,DB00741,autoimmune hemolytic anemia,TxGNN Knowledge Graph
EMEA/H/C/005105,Efmody,HYDROCORTISONE,DB00741,Crohn disease,TxGNN Knowledge Graph
EMEA/H/C/005105,Efmody,HYDROCORTISONE,DB00741,adrenocortical insufficiency,TxGNN Knowledge Graph
EMEA/H/C/005105,Efmody,HYDROCORTISONE,DB00741,intrinsic asthma,TxGNN Knowledge Graph
EMEA/H/C/005105,Efmody,HYDROCORTISONE,DB00741,mantle cell lymphoma,TxGNN Knowledge Graph
EMEA/H/C/005105,Efmody,HYDROCORTISONE,DB00741,precursor T-cell acute lymphoblastic leukemia,TxGNN Knowledge Graph
EMEA/H/C/005105,Efmody,HYDROCORTISONE,DB00741,parapsoriasis,TxGNN Knowledge Graph
EMEA/H/C/005105,Efmody,HYDROCORTISONE,DB00741,hemorrhoid,TxGNN Knowledge Graph
EMEA/H/C/005105,Efmody,HYDROCORTISONE,DB00741,occupational dermatitis,TxGNN Knowledge Graph
EMEA/H/C/005105,Efmody,HYDROCORTISONE,DB00741,discoid lupus erythematosus,TxGNN Knowledge Graph
EMEA/H/C/005105,Efmody,HYDROCORTISONE,DB00741,dermatophytosis of groin and perianal area,TxGNN Knowledge Graph
EMEA/H/C/005105,Efmody,HYDROCORTISONE,DB00741,Trichinellosis,TxGNN Knowledge Graph
EMEA/H/C/005105,Efmody,HYDROCORTISONE,DB00741,Addison disease,TxGNN Knowledge Graph
EMEA/H/C/005105,Efmody,HYDROCORTISONE,DB00741,synovitis (disease),TxGNN Knowledge Graph
EMEA/H/C/005105,Efmody,HYDROCORTISONE,DB00741,acute lymphoblastic leukemia (disease),TxGNN Knowledge Graph
EMEA/H/C/005105,Efmody,HYDROCORTISONE,DB00741,eye disease,TxGNN Knowledge Graph
EMEA/H/C/005105,Efmody,HYDROCORTISONE,DB00741,allergic rhinitis,TxGNN Knowledge Graph
EMEA/H/C/005105,Efmody,HYDROCORTISONE,DB00741,Hodgkins lymphoma,TxGNN Knowledge Graph
EMEA/H/C/005105,Efmody,HYDROCORTISONE,DB00741,eosinophilic pneumonia,TxGNN Knowledge Graph
EMEA/H/C/005105,Efmody,HYDROCORTISONE,DB00741,primary cutaneous T-cell lymphoma,TxGNN Knowledge Graph
EMEA/H/C/005105,Efmody,HYDROCORTISONE,DB00741,tendinitis,TxGNN Knowledge Graph
EMEA/H/C/005105,Efmody,HYDROCORTISONE,DB00741,chronic beryllium disease,TxGNN Knowledge Graph
EMEA/H/C/005105,Efmody,HYDROCORTISONE,DB00741,chronic cutaneous lupus erythematosus,TxGNN Knowledge Graph
EMEA/H/C/005105,Efmody,HYDROCORTISONE,DB00741,acne (disease),TxGNN Knowledge Graph
EMEA/H/C/005105,Efmody,HYDROCORTISONE,DB00741,periarthritis,TxGNN Knowledge Graph
EMEA/H/C/005105,Efmody,HYDROCORTISONE,DB00741,enterobiasis,TxGNN Knowledge Graph
EMEA/H/C/005105,Efmody,HYDROCORTISONE,DB00741,keratoconjunctivitis,TxGNN Knowledge Graph
EMEA/H/C/005105,Efmody,HYDROCORTISONE,DB00741,classic Hodgkin lymphoma,TxGNN Knowledge Graph
EMEA/H/C/005105,Efmody,HYDROCORTISONE,DB00741,acute lymphoblastic/lymphocytic leukemia,TxGNN Knowledge Graph
EMEA/H/C/005105,Efmody,HYDROCORTISONE,DB00741,bursitis,TxGNN Knowledge Graph
EMEA/H/C/005105,Efmody,HYDROCORTISONE,DB00741,Hodgkin's paragranuloma,TxGNN Knowledge Graph
EMEA/H/C/005105,Efmody,HYDROCORTISONE,DB00741,papillary conjunctivitis,TxGNN Knowledge Graph
EMEA/H/C/005105,Efmody,HYDROCORTISONE,DB00741,aphthous stomatitis,TxGNN Knowledge Graph
EMEA/H/C/005105,Efmody,HYDROCORTISONE,DB00741,pneumonitis,TxGNN Knowledge Graph
EMEA/H/C/005105,Efmody,HYDROCORTISONE,DB00741,rheumatoid arthritis,TxGNN Knowledge Graph
EMEA/H/C/005105,Efmody,HYDROCORTISONE,DB00741,atopic eczema,TxGNN Knowledge Graph
EMEA/H/C/005105,Efmody,HYDROCORTISONE,DB00741,aspiration pneumonia (disease),TxGNN Knowledge Graph
EMEA/H/C/005105,Efmody,HYDROCORTISONE,DB00741,allergic asthma,TxGNN Knowledge Graph
EMEA/H/C/005105,Efmody,HYDROCORTISONE,DB00741,idiopathic uveitis,TxGNN Knowledge Graph
EMEA/H/C/005105,Efmody,HYDROCORTISONE,DB00741,"lymphoma, non-Hodgkin, familial",TxGNN Knowledge Graph
EMEA/H/C/005105,Efmody,HYDROCORTISONE,DB00741,tinea pedis,TxGNN Knowledge Graph
EMEA/H/C/005105,Efmody,HYDROCORTISONE,DB00741,otitis externa,TxGNN Knowledge Graph
EMEA/H/C/005105,Efmody,HYDROCORTISONE,DB00741,tinea infection,TxGNN Knowledge Graph
EMEA/H/C/005105,Efmody,HYDROCORTISONE,DB00741,vernal conjunctivitis,TxGNN Knowledge Graph
EMEA/H/C/005105,Efmody,HYDROCORTISONE,DB00741,granulomatous slack skin disease,TxGNN Knowledge Graph
EMEA/H/C/005105,Efmody,HYDROCORTISONE,DB00741,atopic conjunctivitis,TxGNN Knowledge Graph
EMEA/H/C/005105,Efmody,HYDROCORTISONE,DB00741,brain edema,TxGNN Knowledge Graph
EMEA/H/C/005105,Efmody,HYDROCORTISONE,DB00741,lipoid nephrosis,TxGNN Knowledge Graph
EMEA/H/C/005105,Efmody,HYDROCORTISONE,DB00741,psoriasis,TxGNN Knowledge Graph
EMEA/H/C/005105,Efmody,HYDROCORTISONE,DB00741,seborrheic dermatitis,TxGNN Knowledge Graph
EMEA/H/C/005105,Efmody,HYDROCORTISONE,DB00741,exanthem (disease),TxGNN Knowledge Graph
EMEA/H/C/005105,Efmody,HYDROCORTISONE,DB00741,exfoliative dermatitis,TxGNN Knowledge Graph
EMEA/H/C/002782,Entyvio,VEDOLIZUMAB,DB09033,inflammatory bowel disease,TxGNN Knowledge Graph
EMEA/H/C/002782,Entyvio,VEDOLIZUMAB,DB09033,Crohn's colitis,TxGNN Knowledge Graph
EMEA/H/C/002782,Entyvio,VEDOLIZUMAB,DB09033,Crohn disease,TxGNN Knowledge Graph
EMEA/H/C/006113,Emblaveo,AZTREONAM,DB00355,peritonitis,TxGNN Knowledge Graph
